AL_TCDD_Bl_adt_M_logFC	AL_TCDD_Li_adt_M_logFC	BA_BPA10mg_Bl_adt_M_logFC	BA_BPA10mg_Li_adt_M_logFC	BA_BPA10ug_Bl_adt_M_logFC	BA_BPA10ug_Li_adt_M_logFC	BI_PM2.5_Bl_adt_M_logFC	BI_PM2.5_Li_adt_M_logFC	DO_DEHP_Bl_adt_M_logFC	DO_DEHP_Li_adt_M_logFC	DO_Pb_Bl_adt_M_logFC	DO_Pb_Li_adt_M_logFC	MU_PM2.5_Bl_adt_M_logFC	MU_PM2.5_Li_adt_M_logFC	WK_TBT_Bl_adt_M_logFC	WK_TBT_Li_adt_M_logFC
chrX,50602522,50603246	0	0	0	0	0	-0.653851200666771	0.637861620076783	-0.625874240036263	0	0	0	0	0	0	0	0
chr2,84504919,84505389	0	0	-0.868837055155989	0	0	0	0	0	0	0	1.01718005682658	0.992274597898071	0	0	0	0
chr16,3240915,3241331	0	0	0	0	0	0	0	-0.726637397832108	0	0	0	0	-0.651907039791769	-1.27447728178332	0	0
chr19,53824892,53825371	0	0	0	0	0	-0.613903767009376	0	0	0	0	-0.809037776954051	0	-0.745296809770184	-1.16932441979155	0	0
chr4,40735412,40735965	0	0	0	0	0	0	0	-0.688313404484695	0	0	0	0	0.704855443853618	0.928095680062058	0	0
chr9,86573066,86573275	0	0	0	0	0	0	0.595057928578781	0	0	0	0	0	0.587598294609059	0.608410812057615	0	0
chr2,166686981,166687455	0	0	0	0	0	0	0	-0.628578153788497	0	0	0	0	0.656688347757544	-0.733607471636123	0	0
chr1,13332578,13332869	0	0	0	0	0	0	0	-0.585854365082936	0	0	0	0	0.759901011007528	-0.597343765697281	0	0
chr17,83253090,83253405	0	0	0	0	0	0	0	0	0	0	0	0	0.820275708889502	-0.616953039384245	0	0
chr10,122105478,122106595	0	0	0	0	0	0	0	0	0	0	0	0	0.592750197540741	-0.61772250988218	0	0
chr7,109792815,109793042	0	0	0	0	0	0.613977313741541	0	0	0	0	0	0	0.591193957597112	-0.587559687047397	0	0
chrX,164066266,164066504	0	0	0	0	-0.62740182770146	0	0	0	0	0	0	0	0.615678976418317	-0.606937730481649	0	0
chr4,63553818,63554085	0	0	0	0	0	-0.714309485757287	-1.0903852953243	0	0	0	0	0.729201852018688	0	-0.630789547998626	-0.680274834150123	-0.650651237446257
chr16,91398112,91398498.1	0	0	-0.684183835082368	-0.803573256215787	0	-0.987385140464538	-1.4077038406446	0	0	0	0	0	0	0	-0.608727811785766	-0.62001509094633
chr5,90881665,90882067.1	0	0	-0.648027170266121	-0.740882845417209	0	0	-1.81022435813109	0	0	0	0	0	0	0	-0.59592400095273	-0.679531054452641
chr2,157567327,157567515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.754351248378063	-0.880985571089328
chr5,90903489,90903990	0	0	0	0	0	0	-1.31141591189918	0	0	0	0	0	0	0	-0.680762068476008	-0.749459862181402
chr8,122585431,122585891	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.830162718857468	-0.601124705336094	-0.635444795768866
chr17,31834730,31834948	0	0	0	0	0	0	-0.919014089213716	0	0	0	0	0	0	0	-0.687992730282266	-0.643822835057143
chr6,51641986,51642395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.626662373031286	-0.701741861837359
chr1,21014537,21014811	0	0	-0.80156880924203	0	0	0	-0.948834034579925	0	0	0	0	0	0	0	-0.656709201145492	-1.18816939492144
chr15,36688337,36688724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.842809806278614	-1.18284439452752
chr5,32195875,32196313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.745667889177989	-0.703502229470583
chr11,3122144,3122386	0	0	0	0	0	0	0	-0.645058282521217	0	0	0	0	0	0	-0.713498553229571	-0.653842531825935
chr1,88304315,88304676	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3543135739205	-0.642204772940296	-0.742685062057497
chr13,113031844,113032284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715772852489256	-0.688936125405924
chr15,78481319,78481775	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.619545541456851	0.663564544110687	-0.706495171490062
chr11,78453776,78454005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637365550013092	-0.663999866223445
chr5,77029827,77030047	0	0	0	0	0	0.729677470702239	0	0	0	0	0	0	0	0	0.653250949655707	-0.648707842588559
